"Course Long Title","Minimum Credits","Maximum Credits","This course fulfills:","Course Description"
"Interpreting French Literature","4","-","Global Engagement - Language (GE-L), Global Engagement (GE)","Intended as an introduction to literary analysis in French, this course is designed to develop the necessary skills for interpreting literature and for writing effectively in French.  Students learn to do close reading and analysis of various texts from the French and Francophone world.  The course also includes a study of selected grammatical patterns and stylistic techniques."
"Contemporary France: Cultures, Politics Society","4","-","-","This course seeks to deepen students' knowledge of contemporary French culture, with a particular emphasis on French presidential elections, through a pluridisciplinary approach, using multimedia (books, newspaper and magazine articles, news videos, etc.) and Reacting to the Past simulations to generate discussion.  It promotes the practice of both oral and written French through exercises, debates, and oral presentations."
"Religions, Secularism, and the French State","4","-","Social Systems Literacy (SOC-L)","This course examines the French concept of ""laïcité"", or secularism, concentrating on whether this republican requirement has led to the exclusion of religious minorities from the French public sphere. Specific topics will include examples of citizens who seek to practice their faith, be it Islam, Judaism, or Protestantism, within the various spaces of the Republic. The course will include a role-playing simulation exploring the ban of the Muslim headscarf in French schools in order to explore how non-Muslims in France portray Muslim women's understandings and experience of the sacred and divine, and what these portrayals also reveal about French conceptions of faith and identity. "
"Advanced Grammar and Composition","4","-","-","An in-depth review of French grammar with systematic work in French composition. The course is intended to help students develop strategies for the production of effective written French. More complex grammatical, syntactic and stylistic structures, as well as more sophisticated vocabulary and expressions are introduced and practiced through a variety of activities: syntactic, structural and grammatical analysis of texts, study of common problem words for non-native French speakers, short translation and stylistic exercises, and guided writing projects in different genres. "
"Conversation and Phonetics","4","-","-","A course for advanced students wishing to increase their fluency through daily conversation on topics of current interest.  A systematic review of problems in French pronunciation is included. Offered on a rotating basis."
"Early Modern French Literature","4","-","-","Historical survey of French literature from the earliest texts to the end of the 17th century. Emphasis on the development of literary forms, including the epic, drama, lyrical poetry and narrative literature. Fundamental concepts of analysis and criticism are presented. Attention will be paid to increasing the student's fluency in writing. Offered alternate years."
"Introduction to Commercial French","4","-","-","An introduction to business in French context, including business vocabulary, commercial correspondence, economic geography, and the role of government in business transactions.  Specific topics will be addressed on a rotating basis."
"Francophone Literature of Africa and the Caribbean","4","-","Textual Literacy (TXT-L)","Reading and discussion of literary works, with analysis of social, historical and political issues, with an emphasis on cultural and literary movements such as Negritude and their role in shaping ideas of self-determination, nationalism and independence in the French colonies of the Caribbean and Sub-Saharan Africa.  Students will analyze works by such authors as Aime Cesaire (Martinique), Leopold Sedar Senghor (Senegal), Leon Gontran Damas (French Guiana), and Alain Mabanckou (Congo).  Offered on a rotating basis."
"Topics in French Literature and Culture","4","-","-","Study in depth of a particular topic as seen through primary texts. The focus will vary each year, and may include topics such as women writers, social criticism, and film.  Offered alternate years."
"Francophone Literatures and Cultures","4","-","-","A survey of the literature and culture of Francophone countries.  Focus will vary, depending upon the specific topic as well as the number of Francophone countries studied.  Offered on a rotating basis."
"Senior Project","1","4","-","The senior project requirement gives students an opportunity to participate in independent study, to read relevant literature in their chosen area, to develop methods of research and analysis appropriate to their selected topic, and to construct a sustained argument in the language of their major. To enrich their work, students will be encouraged to reflect on and use their study-abroad and firsthand cultural experiences as a means of contextualizing their projects. The research paper is written in French and is presented orally as well. If students have another major in addition to French, they are not required to complete a senior project in both majors. "
"Identity and Language","4","-","Global Engagement - Language (GE-L), Global Engagement (GE)","Who are the Germans?  Who are you when you speak German?  How does language allow us to be ourselves?  Explore personal and cultural identity in the German-speaking world.  Develop basic language skills (speaking, listening, reading, writing) to be able to communicate in everyday situations."
"Community and Language","4","-","Global Engagement - Language (GE-L), Global Engagement (GE)","How do German-speakers live in community?  How and  where can you fit in?  How are communities formed  by language?  Explore traditions, institutions  and lifestyles in the German speaking world.   Continue to develop cultural competency and basic  language skills (speaking, listening, reading,  writing) to be able to communicate in everyday  situations."
"Munster Preparation","1","-","-","This course prepares students accepted to the Munster Semester for the semester abroad. Requires acceptance to the Munster Program.  This course does not count towards the German major or minor."
"German Context and Connections","1","-","-","This course will allow German majors to link a course taught in another department to their study of German via weekly readings, reflections, and discussions with a German faculty member.  Successful completion of German 220 will allow the linked course to count toward the German major."
"German in Action","4","-","Global Engagement - Language (GE-L), Global Engagement (GE)","Apply your German skills in real-world contexts! This course is thematically-based, using topics such as film, comics, art, music, or Berlin to help students develop cultural competency and intermediate-level language skills.  Students may  take the course twice (with different topics)."
"Conversation and Comprehension","4","-","-","This course is for students who have taken GER 102 and who want to develop their speaking as well as their oral and reading comprehension skills, increasing proficiency in extended narration and dialogue and developing knowledge of German-speaking cultures. Offered as part of the Münster Semester."
"Advanced Conversation and Comprehension","4","-","-","This is a course for students who have completed intermediate-level coursework in German and who have a solid background in German grammar. Focus on developing speaking and oral comprehension skills, increasing proficiency in extended narration and dialogue and developing knowledge of German-speaking cultures. Students take this course during the semester abroad in Münster, Germany, and work with authentic, real-life materials and situations."
"German History and Society","4","-","Global Engagement - Language (GE-L), Global Engagement (GE)","This course deepens students' understanding of history, society, and culture in the German-speaking world.  It investigates selected trends and developments in contemporary culture and examines their historical backgrounds.  Offered on a rotating basis."
"German Play","4","-","-","Students will write and perform a play or a film in German.  Emphasis is on writing, oral expression, pronunciation, and review of advanced grammatical structures. Offered on a rotating basis."
"Advanced German Grammar","4","-","-","This course allows students to master advanced grammar structures as they encounter them in Germany during the Munster Semester. Focus on advanced grammar functions and correcting common mistakes in oral and written expression."
"Contemporary German Literature And Culture","4","-","-","A course with emphasis on literature and culture  of the 20th and 21st century.  Study in depth of  a particular topic as seen through primary texts,  with special attention given to contemporary  texts and topics.  Significant practice in  writing, including a research project and  assessment of speaking skills.  Offered as part of the Munster Semester."
"Topics in German Literature and Culture","4","-","-","Study in depth of a particular topic as seen through primary texts. The focus will vary each time, and may include topics such as women writers, social criticism, the environment, East and West, the Holocaust, German media. Significant practice in writing, including a research project. May be repeated for credit up to three times under three different topics. Offered on a rotating basis."
"Senior Project","1","4","-","The senior project requirement gives students an opportunity to participate in independent study, to read relevant sources in their chosen area, to develop methods of research and analysis appropriate to their selected topic, and to construct a sustained argument in the language of their major. To enrich their work, students will be encouraged to reflect on and use their study-abroad and firsthand cultural experiences as a means of contextualizing their projects. Assessment includes the paper, the process, and the required formal presentation of the project at end of term. If students have another major in addition to German, they are not required to complete a senior project in both majors. "
"Introduction to Global Health","4","-","Social Systems Literacy (SOC-L), Social & Environmental Justice (SEJ)","This course will introduce students to the multidisciplinary field of global health, which is based primarily on public health as well as a variety of other disciplines.  The course will introduce students to the milestones in global health, main methods and units of analysis, as well as the ways in which population health is shaped by environmental and social factors.  Students will explore the current trends in disease distribution globally and critically examine reasons for health disparities.  Students will also explore notable case studies in order to learn about the scope of possible interventions, get to know the main stakeholders in the field of global health, and understand the urgent global health priorities."
"Global Health Field Experience","2","4","-","All Global Health majors will be required to undertake a 2- or 4-credit field experience, typically during the junior or senior year.  The purpose of the field experience is to provide both a global context and a hands-on global health experience to deepen classroom learning.  Majors will determine the actual field experience in consultation with their advisor and will approval by the Global Health program board.  Students will have some flexibility in terms of the duration (semester, J-Term, summer) and nature of the experience.  In order to ensure quality and to establish mutuality and reciprocity in off-campus relationships, students will select from among four to six approved partner sites around the world.  These sites will be selected by the Global Health board in consultation with the Center for Global Learning.  The sites are designed to allow students to encounter a range of global health experiences in a variety of locations.  Students will be encouraged to connect the field experience to their own senior project research and to their potential future global health career path."
"Internship","1","8","-","Graded credit/no credit. Students wishing to register for internship credit should obtain application materials from the Career Center."
"Senior Seminar in Global Health","4","-","-","This course will build on the core global health courses to grapple with theoretical and practical approaches in global health.  Students will explore theories from relevant disciplines to help them integrate their understanding of public health approaches, ethical perspectives, health care governance models, and insights from immersion experiences.  Students will draw on their coursework to develop research projects pertinent to the region and health concerns of their academic interest, with strong preference that they focus on the country of their immersion experience.  They will also explore a number of professional development exercises and will have an opportunity to learn about different career pathways in the global health field."
"Introduction to New Testament Greek I","4","-","Textual Literacy (TXT-L)","Students acquire linguistic competency in vocabulary, grammar, and syntax to translate koine Greek, the language of the New Testament.  In addition, students explore ancient Near Eastern culture, history, literature, and art to set the language and the New Testament authors in their relevant contexts."
"Introduction to New Testament Greek II","4","-","-","The second course of a two-semester sequence in which students acquire linguistic competency in vocabulary, grammar, and syntax to translate Koine Greek, the language of the New Testament.  In addition, students explore ancient Near Eastern culture, history, literature, and art to set the language and the New Testament authors in their relevant contexts."
"Intermediate Greek","4","-","-","A review of ancient Greek grammar, vocabulary, and syntax, followed by readings in both the New Testament and classical authors."
"Readings in Greek","4","-","-","Fourth-semester readings from one or more ancient Greek authors or works, such as Homer, Plato, Sophocles, and the New Testament. "
"Foundations for Learning","2","-","-","Unlock your potential in this engaging course designed for incoming TRIO SSS students!  Rooted in the values of a liberal arts education, this course fosters critical thinking, effective communication, and collaborative problem-solving while equipping you with strategies for success at Luther College and beyond.  Through discussions, projects, and self-reflection, you'll develop essential skills in academic success, financial decision-making, career exploration, and personal growth."
"Luther College Symphony Orchestra Residency in Vienna: The World of Vienna","4","-","-","During a three-week residency in rehearsal and performance, orchestra students will explore the rich diversity of peoples and cultures of Vienna from its Medieval past until today.  Vienna is well known as a center of European culture, with art museums, cultural sites, and musical performances that contribute to its being named ""the world's most livable city"" and designated as a UNESCO World Heritage Site.  Vienna is also a diverse city which welcomed Jewish and Eastern European refugees after World War II and the Cold War, and more recently has welcomed refugees following conflicts in Syria, Iraq, and Afghanistan.  In this course students will examine and appreciate the complexity of Vienna through readings assigned in advance of the course, visits to museums and cultural sites, attendance at formal and informal musical performances, and conversations with local speakers.  Coursework will include a midterm exam, a structured and graded journal, and a final paper."
"Critical Reading and Learning","2","-","-","We become better students when we become better critical readers aiming to withhold judgement until we have considered texts or issues carefully and thoughtfully. In this course we practice critical  reading strategies, including inspectional, analytical, and syntopical ways of approaching issues and texts. In this course we also review and practice best learning strategies in the context of a liberal arts curriculum."
"Lives that Matter: Vocation, Self and Service (Arizona)","4","-","-","This course is designed to help students connect their own gifts, talents, and vocation with the needs of the world.  The course begins with on-campus days of introduction to the major concepts of community, service, compassion, social justice, social change, leadership and vocation.  These classes will also enable students to identify their own strengths.  The second part of the course, based at the ELCA ""Spirit in the Desert"" retreat center in Carefree, Arizona (close to Phoenix), offers an intensive service experience through area churches in order to allow students to address a specific need such as homelessness.  The course concludes with a special 2-day Blessed to be a Blessing retreat at Spirit in the Desert, offering students further readings, discussion, and rich inter-generational reflection in order to incorporate their service experience into an understanding of their own vocation in relation to the needs they have witnessed and addressed. Additional fees will apply ($850 for flight and accommodations in Arizona) Requires sophomore status or above."
"Career and Life Design","2","-","-","This course aims to help all majors, at any point in their college and career journey, reframe the stress-inducing question, 'What are you going to be when you grow up?' to the more accurate and empowering, 'What are you growing into next?'  Designed to reduce barriers, lower anxiety, increase self-awareness, and boost confidence as related to career and life design, this course offers a framework, tools, activities, and perhaps most importantly, a supportive community for radical collaboration to build your way forward.  This community will include peers, faculty and staff, instructors, and alumni guest speakers.  Assignments will include: regular reflective journaling and collaborative in-class exercises, motivation and confidence assessments, development of LinkedIn and Handshake profiles, career conversations with alumni/others, and professional communications.  Interactions and assignments will emphasize assets, strengths, abilities, and motivations that are tied to your unique background, prioritizing and integrating your values for work and life, ideating to reframe problems and get unstuck, and work towards defining your why."
"Library Practicum","1","4","-","The library practicum is designed to provide students with a broad introduction to library services and resources.  Topics covered include: research and instruction, collection development, archives and special collections, acquisitions and resource management, instructional design and technology, digital initiatives, outreach and collaboration, and public services.  Students who wish to complete the practicum for four credits many have a special focus project assigned in an area of interest.  Readings, writing, and reflection will be incorporated throughout the experience."
"Integrating Academic and Experiential Learning","2","-","-","In this course, offered concurrently with the Rochester Semester immersion intership experience, students will i) identify and integrate pertinent knowledge and insights gained from their previous liberal arts coursework with their internship settings and ii) evaluate the challenges and opportunities posed by the cultures and practices of the organizations in which they are working, as well as their current and potential roles within them.  Students will be asked to analyze, synthesize, and reflect on past and current experiences, and to act in preparation for future plans.  Drawing on student experiences and insights from external speakers, social and cultural factors of different work environments will be evaluated.  Assignments will include journals, reflective essays, interviews, mind-mapping and prototyping exercises, workforce networking, and a capstone synthesis project.  One hour and half session/week, 2 cr."
"Lifetime Health and Wellness","1","-","-","This common course for all first-year students examines holistic dimensions of wellness and the knowledge, skills, and resources necessary for developing and maintaining health in a diverse world throughout college and across the lifespan.  An emphasis will be placed on individual health and wellness promoting behaviors within an ever-changing social environment through weekly lectures, activities, and self-assessments.  Previously HP 100.  Students may not earn credit for both HP 100 and HES 100."
"Skills Class","1","-","-","Skills courses are designed to expose students to lifetime activities.  The major emphasis of these courses is to acquire basic knowledge of the activity, enhance/improve skill performance, and develop health related fitness.  Course may be selected from aerobic fitness, archery, badminton, bowling, disc golf, fly fishing, golf, individual and dual sports, insanity, pilates, racquetball, racquet sports, rock climbing, ropes course, swim fitness, lifeguard instruction, soccer, team sports, tennis, strength training, yoga or other activity options provided based on staffing.  A student may apply a maximum of three credit hours of skills (HES/ES 110) plus one HES/HP 100 toward the 128 hours required for graduation.  Previously ES 110. Students may not earn credit for both ES 110 and HES 110 that are in the same skill."
"Introduction to Nutrition","2","-","-","An introductory course emphasizing the fundamental and practical aspects of nutrition.  This course will include discussion of carbohydrates, fats, proteins, vitamins, minerals, and fluids.  Special topics such as sport nutrition, supplements, energy balance, weight loss, and food safety will also be examined.  Students will complete a diet analysis, caloric expenditure, and label assignment.  Admission into Nursing or Education programs or Consent of Instructor.  Previously HP 125.  Students may not earn credit for both HP 125 and HES 125."
"Human Performance Nutrition","4","-","-","A comprehensive course emphasizing fundamental aspects of nutrition and explores the practical application of nutritional concepts related to health, fitness, and human physical performance.  This course includes discussion of the basic nutrient groups, supplements, nutritional labeling, energy balance, dietary planning, food safety, food and society, food production and sources, malnutrition in the United States and the world, gastrointestinal disorders and their effects on nutrition.  Students will implement knowledge of nutrition into dietary planning and prescription for specific situations.  Previously HP 126.  Students may not earn credit for both HP 126 and HES 126."
"Wellness and Fitness Abroad","4","-","-","This course affords students a unique opportunity to explore wellness concepts and participate in fitness activities in an international setting.  The course is designed to promote healthy lifestyles and increase the enjoyment of physical activity.  The international setting, which may vary from year to year, exposes students to a different culture and unique fitness activities.  (This course will fulfill 3 credits towards the exercise science skills requirement).  Previously ES 180.  Students may not earn credit for both ES 180 and HES 180."
"First Aid, CPR & AED","2","-","-","Instruction and practice in procedures for providing emergency care, including first aid, CPR and AED techniques, to adults, children and infants.  The written and practical testing for First Aid, CPR, and AED certification through either the American Red Cross or the American Heart Association will be administered.  Students successfully meeting the minimum standards set by the appropriate agency will be certified."
"Stress Management","4","-","-","This course approaches stress management, grit, and resilience from a holistic perspective.  Causes and effects of stress, signs and symptoms produced by stress, and modalities for managing stress, preseverance and passion for long term goals, and building resilience are emphasized.  Students will gain practical knowledge of stress management techniques for daily life.  Previously HP 233.  Students may not earn credit for both HP 233 and HES 233."
"Adaptive Physical Activity","4","-","-","A study of the physiological, cognitive, and behavorial factors affecting learning and development.  The primary emphasis is on experiential learning.  Luther students work individually with young students (ages 3-18) from area school districts to adapt activities to their specific needs.  Previously ES 260.  Students may not earn credit for both ES 260 and HES 260."
"Applied Human Anatomy","4","-","-","A study of the essential structural features of human anatomy with special reference to applications related to activities of daily living, injury, and human movement associated with occupational and athletic activities.  Laboratory focuses on applied functional anatomy. Previously ES 261.  Students may not earn credit for both ES 261 and HES 261."
"Kinesiology and Biomechanics","4","-","-","Study of human movement and the mechanical principles, both kinetic and kinematic, as they apply to human motion.  Identification of muscles, planes of movement, description of motion, levers, and internal and external forces as they apply to motion.  Previously ES 264.  Students may not earn credit for both ES 264 and HES 264."
"Principles of Strength Training and Conditioning","4","-","-","A study of the structural and functional factors related to training adaptations associated with various physically active populations.  This course meets objectives for National Strength and Conditioning Association (NSCA) and American College of Sports Medicine (ACSM) certifications.  Previously ES 323.  Students may not earn credit for both ES 323 and HES 323."
"Principles of Fitness Assessment","4","-","-","Instruction of fundamental principles of fitness testing, development of practical assessment skills and interpretation of results based upon National Strength & Conditioning Association (NSCA) and American College of Sports Medicine (ACSM) health-related fitness assessment protocols and recommendations, including pre-participation screenings, anthropometric measures, flexibility, anaerobic muscular fitness, proprioceptive capabilities, and aerobic capacity.  Previously ES 324.  Students may not earn credit for both ES 324 and HES 324."
"Exercise Techniques","4","-","-","This course will be taught in accordance with the principles recommended by the National Strength and Conditioning Association (NSCA) and American College of Sports Medicine (ACSM).  Course content will include principles of anaerobic and aerobic training techniques and experiential learning in technique assessment and development.  Topics will include flexibility, strength, power, anaerobic capacity, aerobic capacity, speed, agility, balance and stability."
"Motor Learning","4","-","Data Literacy (DTA-L)","The principles of motor development over the lifespan including motor control and motor learning are presented with emphasis on qualitatively examining how the interactions of the individual, environment, and task bring about changes in a person's movements.  Focus areas will address growth benchmarks, activities of daily living, gait, and influence of disease. Previously ES 343.  Students may not earn credit for both ES 343 and HES 343."
"Substance Abuse Prevention","4","-","-","This course examines drug use and its effects on society as well as on the individual.  The behavioral, pharmacological, historical, social, legal, and clinical determinants of substance use and abuse will be covered.  Both theoretical and evidence-based practical approaches to identifying substance abuse problems and implementing substance abuse prevention will be addressed.  Previously HP 358.  Students may not earn credit for both HP 358 and HES 358."
"Current Issues in Health & Fitness","4","-","-","In this course students will investigate current local, national, and international health issues causing disparities in health.  Students will actively participate in selecting course topics, work collaboratively with others in developing and implementing course objectives, and will research, write and present information on selected course topics.  Previously HP 365.  Students may not earn credit for both HP 365 and HES 365."
"Physiology of Exercise","4","-","-","Designed to provide scientific background and laboratory experience essential for understanding the nervous, muscular, cardiovascular, and respiratory system responses and adaptations to physical stress.  Previously ES 366.  Students may not earn credit for both ES 366 and HES 366."
"Administration and Management of Health and Fitness Programs","4","-","-","Administrative and management issues confronting professionals in the health and fitness industries will be explored.  Organizational issues including policies and procedures, scheduling, facility and personnel management, financial and legal considerations, and marketing will be examined.  Previously HP 372.  Students may not earn credit for both HP 372 and HES 372."
"Internship","1","8","-","Graded credit/no credit. Students wishing to register for internship credit should obtain application materials from the Career Center."
"Internship","1","8","-","-"
"Program Design and Periodization","4","-","-","Didactic and application in the design and development of periodized exercise programs for athletic, occupational, and special populations."
"Exercise Science Practicum","1","4","-","This experiential learning course is designed to give students the opportunity to apply knowledge, skills, and abilities acquired in the classroom.  Students will serve as exercise specialists for members of the campus and local community; provide assessments, prescribe appropriate interventions, provide proper instruction, and design appropriate programs based on client's needs and abilities.  Previously ES 430.  Students may not earn credit for both ES 430 and HES 430."
"Survey of US History Part One","4","-","Social Systems Literacy (SOC-L)","This course surveys American history from the early colonial period to the end of Reconstruction in 1877. Topics are wide-ranging and include the geographic and social evolution of the New England colonies, the Middle Colonies, the Chesapeake, and the Lower South into coherent regions with different economies, social structures and cultural attributes. The course then explores how these various regions successfully cooperated politically with one another long enough to engage in an independence movement that separated them from Great Britain and created the United States. But political, economic and social differences lived on into the nineteenth century, however, and became the basis for the geographic and sectional conflict which erupted into Civil War in 1861. The course closes with the political and economic successes and failures of Reconstruction policy as a bridge to later American history. "
"Survey of US History Part Two","4","-","Social Systems Literacy (SOC-L)","This course surveys American history since Reconstruction, exploring transformations in American geography, politics, economics, society, and culture. The course has, as a unifying theme the question of how and why people have defined the American nation in different ways, and how those ideas have related to race and gender. Topics covered include the end of the westward expansion after the Civil War, Indian resistance, industrialization, the Populist political movement, immigration, the successes and failures of the Progressive movement, the First World War, African American migration and cultural innovation, the cultural turmoil of the 1920s, the Depression and New Deal, the Second World War at home and abroad, the Cold War, the Civil Rights Movement, feminism, other social movements, the Vietnam war and the anti-war movement, cultural politics in the 1970s, the Reagan Revolution and the 1980s culture wars, Republican and Democratic party battles of the 1990s, 9/11 and its aftermath, and the Iraq and Afghanistan Wars. "
"Human Geography","4","-","Social Systems Literacy (SOC-L)","Geography is the study of where things are located on the earth's surface and why they are located there.  Thus the content of human geography is essentially everything one finds throughout the disciplines of the Social Sciences, but approached from the perspective of spatial arrangement.  Geographers ask two simple questions:  Where are people and activities located across the world?  Why are they located there?  Human Geography places special emphasis on these questions as they relate to human beings and human political, economic, social, and cultural activities."
"World History I to c. 1500: From Hunter Gatherers to Global Empires","4","-","Social Systems Literacy (SOC-L)","This course traces the history of the world from the initial prehistoric spread of people across the earth (pre-c. 5000 BCE) to the development of globally connected empires and economic networks (c. 1500 CE).  Rather than investigating specific areas of the planet in succession (i.e. East Asia, Europe, Africa, the Americas) we will proceed chronologically, topically, and comparatively, addressing broad trends that reveal themselves simultaneously across multiple regions of the earth.  Some of these phenomena include: the domestication of plant and animal species, the origin and development of the first cities, states, and empires; the rise of universalizing religions; the beginnings of common cultures; the relationship of religion and states; the Black Death and recovery; and the emergence of a globally-connected world."
"World History II:1500-Today","4","-","Social Systems Literacy (SOC-L)","This course examines the history of the modern world from 1500 through the present.  The historical survey covers the fundamental events and patterns that shaped the gradual integration of disparate regions of the world into a single world system.  At the beginning of the period various regions of the globe had little or no contact with each other.  As the story moves forward these regions increasingly became caught up in global webs of interaction due to new technologies, empire-building, expanding commercial networks, and industrialization.  The course will examine how this process of globalization accelerated the proliferation of such modern ideas as revolution, citizenship and nationhood, individual rights, and gender equality, even as it presented the world's peoples with novel challenges like racial nationalism, world war, and genocide.  The course will also look at how Europeans achieved global dominance and why their power declined during the twentieth century.  Finally, the course will examine how non-European peoples resisted, negotiated, and adapted European-style modernity."
"African-American History","4","-","Social Systems Literacy (SOC-L), Social & Environmental Justice (SEJ)","This course is a survey of African-American history from the 15th century to the present. Eras and topics include the trans-Atlantic slave trade, slavery in the Americas, the Civil War and Emancipation, segregation, the Great Migration, the Great Depression and World War II, the modern black freedom struggle, and the post-civil rights era.  The class emphasizes how African Americans constructed individual and collective selves, created livelihoods, formed families, communities, and institutions, fashioned cultures, defined citizenship, and consistently defied notions of a monolithic ""black community."" Centering African Americans' words, actions, and artistic creations and the ways they interacted with other cultures and peoples within the Americas and abroad, this course investigates how African Americans shaped and were shaped by the many worlds they traversed. (Same as AFRS 135 and IDS 135)"
"Europe to 1648","4","-","Social Systems Literacy (SOC-L)","An introductory survey of European history from ancient Greece to the end of the ""Religious Wars"" (and the Peace of Westphalia) in 1648. Topics will include: Greece from the Bronze Age to the Hellenistic Empires, Ancient Rome (Republic and Empire), Medieval Europe, the Renaissance, and the Reformation and the Age of Religious Wars."
"Europe, 1648 to the Present","4","-","Textual Literacy (TXT-L)","An introductory survey of European history from the end of the wars of religion in the seventeenth century to the present. Topics will include: the Scientific Revolution: the Enlightenment; Absolutism and the Emergence of the Parliamentary Government; the French Revolution and Napoleon; Reaction and Revolution in the early nineteenth century; The Industrial Revolution; Nationalism and Unification; the ""New Imperialism"" and the Coming of World War I: the ""Thirty Years War of the Twentieth Century""; Postwar Europe: Cold War and Integration.  Of central importance will be the study of primary sources in context."
"East Asian History","4","-","Social Systems Literacy (SOC-L)","An introduction to the basic themes and content of East Asian history, from the earlist times to the present. Students will explore the lives of both great and ordinary people who lived in what are now China, Japan, Korea, and Vietnam. Students will consider how empire, international trade, relations of production, and ideologies affected the construction and reproduction of social and cultural groups. Offered alternate years. (Same as IDS 161)"
"South Asian History","4","-","Social Systems Literacy (SOC-L)","An introduction to the basic themes and content of South Asian history from the earliest times to the present.  Students will explore the lives of both great and ordinary people who lived in what are now Afghanistan, Pakistan, India, Bangladesh, Sri Lanka, Nepal.  Students will consider how empire, international trade, relations of production, and ideologies affected the construction and reproduction of social and cultural groups. Offered alternate years. (Same as IDS 162)"
"Modern Middle East History","4","-","Social Systems Literacy (SOC-L)","Students in this course investigate the history of the Middle East, including Iran, Turkey, and northern Africa. The course begins with the Mongol sack of Baghdad in 1258, but its focus on the nineteenth and twentieth centuries allows students to understand the cultural and material processes that inform current events. The course provides important historical context for intellectual discussion among the Abrahamic traditions and requires students to consider social, economic, and cultural factors that may find expression in religious canon and practice."
"History of Africa to 1880","4","-","Social Systems Literacy (SOC-L), Social & Environmental Justice (SEJ)","Survey of African history from the earliest times to roughly about 1880.  The course begins with the historical development of Africa's still-vital cultural, linguistic, social, and economic systems and moves on to examine the Islamic and Christian impact on these systems through the era of the Atlantic slave trade. The course concludes by discussing the ways in which early European colonialism affected the African past. (Same as AFRS 171 and IDS 171)"
"History of Modern Africa","4","-","Social Systems Literacy (SOC-L), Social & Environmental Justice (SEJ)","This course surveys the history of sub-Saharan Africa from the 1880s to the present.  The course examines African life under European colonial domination (from about 1880 to about 1960) and under independent states which succeeded colonial governments after 1960.  A primary aim of this course is to explore the diversity of human experience in Africa during the colonial and post-colonial periods.  The course makes use of several primary documents to portray ways in which men and women have dealt with the challenges of living in 20th- and 21st-century Africa. (Same as AFRS 172 and IDS 172)"
"Public History","-","-","-","This course explores the various ways in which history is communicated and consumed outside the academy.  This course will combine exposure to the work of local historical societies, museums, and other public history venues with academic study of public history techniques and ethical challenges.  Students will examine how a variety of institutions and media present history to the public and how the public interacts with these discourses on history.  Students will explore how ideas about how the American public should interact with the American past have changed over time in response to contemporary concerns.  The course will also include exposure to related fields such as oral history and digital history.  A comparison of the differences in purpose and audience between public and scholarly presentations of history is a central theme of the course.  Offered alternate years."
"The Long Civil Rights Era: Black Nationalism to Black Power","4","-","-","Adopting a ""Long Civil Rights Movement"" framework, we will examine how African Americans adopted various strategies to bring effective meaning tot their citizenship status and expand the boundaries of American democracy.  Instead of limiting our study to the ""classical phase"" of the movement between 1954 and the early 1970s, we will begin in the 1930s and end with contemporary activism such as the Black Live Matter movement.  Through an extended periodization of what is traditionally considered the Civil Rights Movement, the class reveals how the struggle for civil rights was not a singular moment in the mid 20th century, by a sustained, multidimensional, ideologically diverse movement that continues to the present.  Using a range of primary and secondary sources, we will pay particular attention to the regional dynamics of African American civil rights movements and the role of gender in these movements.  (Same as AFRS 235 and IDS 235)"
"Asian American History","4","-","Textual Literacy (TXT-L)","This course provides an overview of Asian American and Pacific Islander history, from the eighteenth through the twentieth century.  Students will place the migration of Asian people to the United States into the contexts of the migration of Asians to other destinations in the Americas; of missionary work in the Pacific and Asia; of xenophobia and racism in the United States; of US military action in Asia during WWII, the Cold War, and afterwards; and of ethnic and racial identity formation in the US after 1965.  Topics will be approached from the perspectives of cultural, economic, political, and social history; students analyze the content and contexts of primary sources to illustrate and explain these topics and perspectives."
"Rome: Republic and Empire","4","-","Textual Literacy (TXT-L)","This course offers a chronological survey of Roman history from the prehistoric settlements in the area of the Seven Hills (c.1000 BCE.) to the deterioration of the western empire in the fifth century CE.  We will focus primarily on Roman political and instiutional history, addressing such questions as: how and why was Rome able to become master of Italy, and then the entire Mediterranean?  How did Roman political structure change over time and what forces motivated that change?  What specific factors were at play in the transformation of the Republic to the Empire?  And how did Christianity impact the Empire and its politics?  Along the way, we will also examine various aspects of Roman society and culture including:  classical notions of the divine, the role of religion in Roman society, the material culture of the Roman world, gender roles in Roman society, literature, and images and notions of power.  Finally, we will consider three Roman authors' portrayal of their own history, particularly their approaches, methods, and objectives."
"Christianity and Islam: Encounters and Perceptions, 632-1683","4","-","Religious Literacy (REL-L)","This course will investigate the many varied contacts between Christians and Muslims, as well as the changing perceptions and attitudes each group had of the other, from the death of Muhammad (632) to the Battle of Vienna (1683).  Analysis of these interactions will focus on distinct epochs and events including: immediate Christian responses to the rise of Islam; the relationships among the Carolingians, Umayyads, and Abbasids; convivencia on the Iberian Peninsula in the 9th-11th centuries; the Crusades; intellectual and commercial interaction in the 12th century; Europe and the rise of the Ottoman Empire; and Renaissance and Reformation perceptions of Islam. This course will demonstrate how specific historical contexts influenced religious interactions, military encounters, and economic and cultural exchanges, as well as perceptions of the other."
